dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021S051259030177,59030177,Dissemination area,59030177,59030177,,"Population, 2021",472
2021A00055903058,5903058,Census subdivision,"Central Kootenay J, Regional district electoral area (RDA)",Central Kootenay J,Regional district electoral area (RDA),"Population, 2021",3517
2021S051259030179,59030179,Dissemination area,59030179,59030179,,"Population, 2021",128
2021S051259030186,59030186,Dissemination area,59030186,59030186,,"Population, 2021",437
2021S051259030187,59030187,Dissemination area,59030187,59030187,,"Population, 2021",888
2021S051259030188,59030188,Dissemination area,59030188,59030188,,"Population, 2021",601
2021S051259030194,59030194,Dissemination area,59030194,59030194,,"Population, 2021",706
2021S051259030195,59030195,Dissemination area,59030195,59030195,,"Population, 2021",757
2021A00055903060,5903060,Census subdivision,"Central Kootenay K, Regional district electoral area (RDA)",Central Kootenay K,Regional district electoral area (RDA),"Population, 2021",1784
2021S051259030128,59030128,Dissemination area,59030128,59030128,,"Population, 2021",539
2021S051259030132,59030132,Dissemination area,59030132,59030132,,"Population, 2021",442
2021S051259030242,59030242,Dissemination area,59030242,59030242,,"Population, 2021",381
2021S051259030243,59030243,Dissemination area,59030243,59030243,,"Population, 2021",422
2021A00055903807,5903807,Census subdivision,"Creston 1, Indian reserve (IRI)",Creston 1,Indian reserve (IRI),"Population, 2021",93
2021S051259030206,59030206,Dissemination area,59030206,59030206,,"Population, 2021",93
2021A00035905,5905,Census division,"Kootenay Boundary, Regional district (RD)",Kootenay Boundary,Regional district (RD),"Population, 2021",33152
2021A00055905005,5905005,Census subdivision,"Fruitvale, Village (VL)",Fruitvale,Village (VL),"Population, 2021",1958
2021S051259050108,59050108,Dissemination area,59050108,59050108,,"Population, 2021",484
2021S051259050111,59050111,Dissemination area,59050111,59050111,,"Population, 2021",528
2021S051259050115,59050115,Dissemination area,59050115,59050115,,"Population, 2021",946
2021A00055905009,5905009,Census subdivision,"Montrose, Village (VL)",Montrose,Village (VL),"Population, 2021",1013
2021S051259050102,59050102,Dissemination area,59050102,59050102,,"Population, 2021",472
2021S051259050103,59050103,Dissemination area,59050103,59050103,,"Population, 2021",541
2021A00055905014,5905014,Census subdivision,"Trail, City (CY)",Trail,City (CY),"Population, 2021",7920
2021S051259050090,59050090,Dissemination area,59050090,59050090,,"Population, 2021",656
2021S051259050091,59050091,Dissemination area,59050091,59050091,,"Population, 2021",487
2021S051259050092,59050092,Dissemination area,59050092,59050092,,"Population, 2021",564
2021S051259050093,59050093,Dissemination area,59050093,59050093,,"Population, 2021",688
2021S051259050094,59050094,Dissemination area,59050094,59050094,,"Population, 2021",553
2021S051259050095,59050095,Dissemination area,59050095,59050095,,"Population, 2021",482
2021S051259050096,59050096,Dissemination area,59050096,59050096,,"Population, 2021",862
2021S051259050097,59050097,Dissemination area,59050097,59050097,,"Population, 2021",670
2021S051259050098,59050098,Dissemination area,59050098,59050098,,"Population, 2021",732
2021S051259050099,59050099,Dissemination area,59050099,59050099,,"Population, 2021",621
2021S051259050100,59050100,Dissemination area,59050100,59050100,,"Population, 2021",998
2021S051259050105,59050105,Dissemination area,59050105,59050105,,"Population, 2021",607
2021A00055905018,5905018,Census subdivision,"Warfield, Village (VL)",Warfield,Village (VL),"Population, 2021",1753
2021S051259050087,59050087,Dissemination area,59050087,59050087,,"Population, 2021",720
2021S051259050088,59050088,Dissemination area,59050088,59050088,,"Population, 2021",379
2021S051259050089,59050089,Dissemination area,59050089,59050089,,"Population, 2021",654
2021A00055905023,5905023,Census subdivision,"Rossland, City (CY)",Rossland,City (CY),"Population, 2021",4140
2021S051259050081,59050081,Dissemination area,59050081,59050081,,"Population, 2021",825
2021S051259050082,59050082,Dissemination area,59050082,59050082,,"Population, 2021",670
2021S051259050083,59050083,Dissemination area,59050083,59050083,,"Population, 2021",597
2021S051259050084,59050084,Dissemination area,59050084,59050084,,"Population, 2021",646
2021S051259050085,59050085,Dissemination area,59050085,59050085,,"Population, 2021",530
2021S051259050086,59050086,Dissemination area,59050086,59050086,,"Population, 2021",872
2021A00055905026,5905026,Census subdivision,"Kootenay Boundary A, Regional district electoral area (RDA)",Kootenay Boundary A,Regional district electoral area (RDA),"Population, 2021",1624
2021S051259050101,59050101,Dissemination area,59050101,59050101,,"Population, 2021",403
2021S051259050109,59050109,Dissemination area,59050109,59050109,,"Population, 2021",351
2021S051259050110,59050110,Dissemination area,59050110,59050110,,"Population, 2021",434
2021S051259050118,59050118,Dissemination area,59050118,59050118,,"Population, 2021",436
2021A00055905030,5905030,Census subdivision,"Kootenay Boundary B / Lower Columbia-Old-Glory, Regional district electoral area (RDA)",Kootenay Boundary B / Lower Columbia-Old-Glory,Regional district electoral area (RDA),"Population, 2021",1422
